기간,대분류,분류,합계,TV  또는 비디오시청,여행야외나들이,컴퓨터게임인터넷검색 등,휴식,사회활동,운동,문화예술관람,창작적 취미활동,운동경기관람,종교활동,기타
2016,광진구,광진구,100,46.4,12.9,6.4,5.6,0.4,7.2,3.8,4.1,4.0,9.1,-
2016,동대문구,동대문구,100,44.3,10.1,11.2,7.1,0.9,6.2,5.6,4.4,2.1,7.9,0.3
2016,중랑구,중랑구,100,35.8,17.2,6.6,6.4,1.6,7.0,8.1,4.4,3.9,8.9,0.1
2016,성북구,성북구,100,38.5,13.3,8.6,8.9,0.7,7.4,8.6,4.2,2.1,7.5,0.1
2016,강북구,강북구,100,36.4,14.3,5.5,6.4,1.1,9.4,10.8,1.9,5.0,8.8,0.2
2016,도봉구,도봉구,100,40.0,12.5,11.3,4.4,1.1,8.0,7.0,4.9,2.4,8.4,-
2016,노원구,노원구,100,42.0,10.6,7.4,7.4,0.6,4.8,8.5,4.5,3.7,10.5,0.1
2016,은평구,은평구,100,36.8,13.1,7.1,7.1,1.0,4.6,13.1,5.4,2.2,9.6,0.1
2016,서대문구,서대문구,100,52.2,10.8,7.1,4.0,0.6,2.9,6.1,3.9,1.8,10.6,0.1
2016,마포구,마포구,100,41.5,16.8,4.5,6.1,1.3,5.6,9.2,4.1,1.8,9.1,-
2016,양천구,양천구,100,43.1,12.4,5.5,7.4,0.5,4.5,8.0,3.8,2.4,12.2,0.1
2016,강서구,강서구,100,49.7,11.5,7.5,6.1,1.3,5.6,6.1,3.3,2.8,6.1,0.1
2016,구로구,구로구,100,48.7,12.1,5.3,4.8,0.8,5.3,7.0,5.2,2.4,8.1,0.1
2016,금천구,금천구,100,51.3,14.8,5.0,4.9,0.4,4.4,5.9,3.4,1.4,8.5,0.1
2016,영등포구,영등포구,100,43.2,12.1,5.5,7.2,1.2,8.6,7.7,3.8,2.5,7.9,0.2
2016,동작구,동작구,100,47.5,14.8,6.8,7.5,1.0,5.0,6.4,3.6,1.9,5.5,0.1
2016,관악구,관악구,100,43.6,14.7,6.5,9.1,1.9,4.6,6.5,3.4,1.1,8.6,0
2016,서초구,서초구,100,37.9,14.3,7.1,6.8,2.1,6.8,8.6,3.5,3.4,9.3,0
2016,강남구,강남구,100,41.8,12.1,6.2,5.9,2.2,7.0,5.9,6.1,2.8,9.9,-
2016,송파구,송파구,100,42.9,16.2,6.8,4.9,2.3,6.3,6.3,2.5,4.6,7.1,0.1
2016,강동구,강동구,100,37.0,14.6,6.9,7.4,1.9,7.4,9.9,3.7,3.0,8.3,-
