기간,대분류,분류,합계,TV  또는 비디오시청,여행야외나들이,컴퓨터게임인터넷검색 등,휴식,사회활동,운동,문화예술관람,창작적 취미활동,운동경기관람,종교활동,기타
2012,서울시,서울시,100,43.7,9.3,6.8,10.7,1.1,6.0,7.1,4.2,2.7,8.2,0.1
2012,성별,남자,100,43.3,9.1,8.3,10.0,0.8,8.7,6.5,3.4,3.6,6.0,0.1
2012,성별,여자,100,44.1,9.5,5.4,11.4,1.5,3.4,7.7,4.8,1.8,10.3,0.1
2012,연령별,10대,100,35.0,3.9,23.6,6.8,1.3,6.1,7.1,6.1,2.9,7.0,0.2
2012,연령별,20대,100,33.0,9.4,15.5,7.5,1.2,6.8,12.1,5.2,3.6,5.6,0.1
2012,연령별,30대,100,39.2,13.0,7.7,10.0,0.7,4.8,10.1,4.8,3.2,6.4,0.1
2012,연령별,40대,100,46.1,10.2,3.0,11.7,0.8,6.6,6.1,4.5,2.9,8.2,0
2012,연령별,50대,100,48.8,9.4,2.0,12.0,1.4,6.3,4.2,3.1,2.4,10.4,0.1
2012,연령별,60대 이상,100,53.8,6.4,0.8,13.6,1.6,5.7,3.3,2.6,1.5,10.6,0.1
2012,학력별,중졸 이하,100,48.4,4.6,10.3,11.1,1.4,5.2,4.4,3.5,1.7,9.3,0.1
2012,학력별,고졸 이하,100,47.9,9.3,3.3,12.9,1.3,5.6,5.1,3.0,2.4,9.2,0.1
2012,학력별,대졸 이하,100,39.6,11.0,8.0,9.2,1.0,6.4,9.3,5.1,3.3,7.0,0.1
2012,학력별,대학원 이상,100,26.7,11.0,3.5,8.1,0.5,12.0,11.0,8.8,5.5,12.6,0.3
2012,소득별,100만원 미만,100,65.7,4.6,2.6,9.6,0.4,4.8,1.7,1.0,1.0,8.1,0.5
2012,소득별,100-200만원 미만,100,56.8,6.5,3.9,12.4,0.6,4.3,5.2,1.4,2.6,6.3,-
2012,소득별,200-300만원 미만,100,44.8,9.6,7.2,10.3,0.7,6.9,6.4,3.6,2.4,8.1,0
2012,소득별,300-400만원 미만,100,45.1,8.9,7.0,10.3,0.9,5.8,7.3,4.5,2.8,7.2,0.1
2012,소득별,400-500만원 미만,100,42.6,9.6,7.0,10.8,1.3,5.6,7.4,4.6,3.1,8.0,0.1
2012,소득별,500만원 이상,100,37.4,10.4,7.6,10.9,1.6,6.6,7.9,4.8,2.8,9.8,0.1
2012,혼인상태별,기혼,100,47.1,10.2,2.9,11.5,1.1,6.1,5.9,3.8,2.6,8.9,0.1
2012,혼인상태별,미혼,100,33.4,8.4,16.5,8.0,1.2,6.5,11.0,5.3,3.5,6.2,0.1
2012,혼인상태별,이혼/별거,100,55.7,6.8,3.4,13.5,0.9,5.1,3.1,4.5,1.8,5.3,0
2012,혼인상태별,사별,100,53.9,6.6,0.8,15.2,1.4,3.6,2.0,2.3,1.3,12.6,0.1
2012,지역대분류,도심권,100,46.4,8.6,5.5,10.8,2.4,5.0,5.4,4.4,2.6,8.9,0.1
2012,지역대분류,동북권,100,42.2,8.0,8.1,14.9,1.6,5.9,4.5,4.4,3.3,7.1,0.1
2012,지역대분류,서북권,100,41.6,9.4,8.6,10.5,1.3,6.2,6.6,2.6,2.4,10.7,0
2012,지역대분류,서남권,100,48.3,10.2,5.8,7.9,0.4,4.9,9.0,2.9,2.2,8.4,0.1
2012,지역대분류,동남권,100,40.1,10.2,5.6,8.4,1.1,8.0,9.0,6.6,2.8,8.1,0.1
2012,종로구,종로구,100,54.2,8.1,4.6,6.5,1.0,4.3,7.6,2.1,3.8,7.4,0.3
2012,중구,중구,100,62.6,7.9,6.8,6.4,0.7,0.8,3.0,3.7,1.1,7.0,-
2012,용산구,용산구,100,31.9,9.3,5.3,16.3,4.3,7.9,5.1,6.3,2.7,10.9,0.1
2012,성동구,성동구,100,43.4,6.5,4.8,25.2,1.8,3.6,4.0,2.5,2.4,5.8,0
2012,광진구,광진구,100,28.8,8.7,9.2,14.4,2.0,14.2,3.1,9.0,2.2,8.4,-
2012,동대문구,동대문구,100,39.9,5.7,11.4,13.8,1.5,6.5,6.0,5.9,6.8,2.5,-
2012,중랑구,중랑구,100,44.2,8.7,5.2,11.6,1.0,4.9,7.0,7.3,4.0,6.1,0
2012,성북구,성북구,100,32.1,11.1,9.3,15.9,1.1,5.6,6.3,4.5,4.5,9.3,0.2
2012,강북구,강북구,100,49.1,10.6,6.7,10.7,0.6,3.9,3.4,1.5,2.9,10.5,0.1
2012,도봉구,도봉구,100,43.4,9.5,5.0,13.2,2.9,4.8,6.1,3.7,3.0,8.1,0.3
2012,노원구,노원구,100,53.1,4.1,10.9,15.8,1.9,4.3,1.4,1.2,1.0,6.2,-
2012,은평구,은평구,100,40.0,10.1,9.5,12.8,1.7,6.0,5.6,2.8,1.8,9.8,-
2012,서대문구,서대문구,100,45.0,7.4,6.7,8.1,1.1,6.5,7.0,2.7,3.1,12.4,-
2012,마포구,마포구,100,40.8,10.2,8.9,9.5,1.0,6.3,7.7,2.2,2.8,10.6,0
2012,양천구,양천구,100,67.6,10.4,3.1,3.0,0.1,1.1,2.8,1.2,1.1,9.6,-
2012,강서구,강서구,100,59.4,12.7,2.3,2.2,0.2,2.3,4.8,3.6,1.5,11.1,-
2012,구로구,구로구,100,37.8,9.3,6.2,12.6,0.6,10.3,12.0,3.7,2.2,5.4,0.1
2012,금천구,금천구,100,30.6,7.2,9.3,11.5,1.0,5.4,14.4,3.4,3.4,13.8,-
2012,영등포구,영등포구,100,37.3,12.1,7.8,11.4,0.3,6.9,13.8,1.2,2.3,6.7,0.2
2012,동작구,동작구,100,45.4,9.1,6.4,7.2,0.6,4.0,10.5,3.4,4.1,9.3,0.1
2012,관악구,관악구,100,45.4,8.9,8.4,11.1,0.6,5.9,9.7,3.3,1.9,4.5,0.4
2012,서초구,서초구,100,46.1,6.2,7.9,6.2,0.9,8.1,10.5,8.5,1.9,3.7,-
2012,강남구,강남구,100,37.8,11.9,1.7,8.3,1.9,6.0,10.3,9.9,4.3,7.9,-
2012,송파구,송파구,100,33.8,9.4,5.5,11.3,1.0,7.8,10.4,5.3,3.3,12.0,0.2
2012,강동구,강동구,100,46.3,13.1,8.3,6.5,0.4,10.6,4.0,2.8,1.3,6.7,-
