기간,대분류,분류,합계,TV  또는 비디오시청,여행야외나들이,컴퓨터게임인터넷검색 등,휴식,사회활동,운동,문화예술관람,창작적 취미활동,운동경기관람,종교활동,기타
2018,서울시,서울시,100,29.5,20.6,7.8,4.7,1.4,9.9,10.0,1.6,1.3,13.2,0.1
2018,성별,남자,100,28.7,19.6,9.6,4.4,1.2,13.5,8.9,1.6,1.9,10.6,0.1
2018,성별,여자,100,30.2,21.7,6.2,5.0,1.7,6.4,11.0,1.6,0.7,15.6,0
2018,연령별,10대,100,17.3,10.6,26.6,4.2,0.9,10.4,15.2,3.1,1.3,10.5,-
2018,연령별,20대,100,21.4,20.1,17.6,2.0,1.7,9.5,17.1,2.2,1.6,6.8,-
2018,연령별,30대,100,22.6,30.5,8.2,3.0,1.2,7.5,14.1,1.5,1.7,9.7,0.1
2018,연령별,40대,100,27.1,24.9,5.5,3.7,1.2,10.8,10.3,1.3,1.3,13.6,0
2018,연령별,50대,100,32.8,20.3,2.8,5.0,1.5,11.6,6.2,1.5,1.4,16.6,0.1
2018,연령별,60대 이상,100,43.4,12.4,1.1,8.9,1.6,9.8,2.6,1.1,0.5,18.3,0.1
2018,학력별,중졸 이하,100,47.5,8.7,2.6,11.1,1.5,7.9,2.4,0.7,0.2,17.2,0.1
2018,학력별,고졸 이하,100,33.0,17.9,7.4,5.7,1.4,9.8,7.2,1.5,1.0,15.1,0.1
2018,학력별,대졸 이하,100,23.9,24.8,9.3,2.7,1.5,10.2,13.0,1.9,1.5,11.1,0
2018,학력별,대학원 이상,100,12.9,24.1,4.8,4.1,0.8,16.9,17.4,1.1,4.9,12.9,-
2018,소득별,100만원 미만,100,44.3,6.8,7.2,10.8,0.8,6.9,7.1,0.9,0.5,14.7,0.1
2018,소득별,100-200만원 미만,100,44.2,8.8,4.1,9.8,1.4,9.0,5.0,0.8,0.5,16.3,0.1
2018,소득별,200-300만원 미만,100,34.7,17.0,8.8,5.7,1.7,8.6,9.3,1.6,0.9,11.6,0
2018,소득별,300-400만원 미만,100,32.1,19.0,7.6,4.8,1.4,10.7,8.1,1.1,1.5,13.5,0.1
2018,소득별,400-500만원 미만,100,26.0,22.7,8.7,4.6,1.3,10.2,8.7,1.5,1.3,14.8,0.1
2018,소득별,500만원 이상,100,24.3,24.9,8.0,2.9,1.5,10.3,12.5,2.0,1.5,12.1,0
2018,혼인상태별,기혼,100,30.9,23.4,3.7,4.6,1.3,9.9,8.0,1.4,1.1,15.6,0.1
2018,혼인상태별,미혼,100,21.4,18.1,18.0,2.6,1.5,10.5,15.9,2.4,2.0,7.5,0
