기간,대분류,분류,합계,TV  또는 비디오시청,여행야외나들이,컴퓨터게임인터넷검색 등,휴식,사회활동,운동,문화예술관람,창작적 취미활동,운동경기관람,종교활동,기타
2018,혼인상태별,이혼/별거,100,38.9,20.2,4.0,8.5,1.1,7.9,7.1,0.4,1.0,10.8,0.1
2018,혼인상태별,사별,100,45.7,9.2,0.9,11.9,2.1,8.3,2.7,0.7,0.2,18.1,0.1
2018,지역대분류,도심권,100,29.1,19.1,9.1,3.8,2.3,12.5,6.7,2.9,1.3,13.1,0
2018,지역대분류,동북권,100,29.6,18.6,8.1,4.6,2.1,9.4,11.9,1.1,1.1,13.4,0
2018,지역대분류,서북권,100,29.0,23.2,4.8,5.1,1.2,8.9,11.6,1.3,1.5,13.2,0
2018,지역대분류,서남권,100,30.3,19.9,8.7,5.8,0.6,9.9,9.2,1.4,1.2,12.9,0.1
2018,지역대분류,동남권,100,28.2,23.9,7.4,3.2,1.5,10.6,8.1,2.4,1.5,13.2,0.1
2018,종로구,종로구,100,17.2,26.0,6.1,2.7,3.5,19.1,5.2,1.5,1.0,17.6,-
2018,중구,중구,100,30.9,10.4,18.3,6.2,4.7,9.8,4.7,1.7,0.7,12.5,0.1
2018,용산구,용산구,100,36.6,19.2,5.9,3.3,0.1,9.3,8.8,4.6,1.9,10.2,-
2018,성동구,성동구,100,45.3,13.2,6.9,4.6,0.5,7.1,9.2,0.5,1.2,11.4,-
2018,광진구,광진구,100,30.6,22.8,5.0,4.4,1.0,5.5,15.0,0.8,1.4,13.5,-
2018,동대문구,동대문구,100,28.7,13.3,7.5,6.7,1.2,9.6,21.9,2.3,0.9,8.0,0
2018,중랑구,중랑구,100,33.7,18.6,9.5,4.9,1.3,10.6,10.4,0.8,2.1,8.1,-
2018,성북구,성북구,100,21.8,18.4,7.2,5.5,3.5,10.1,14.1,0.4,1.0,17.9,-
2018,강북구,강북구,100,20.4,32.4,4.7,2.3,2.4,12.1,7.9,1.0,1.0,15.8,-
2018,도봉구,도봉구,100,33.7,18.3,12.3,4.4,4.4,7.3,8.0,2.3,0.9,8.4,-
2018,노원구,노원구,100,26.9,14.6,10.7,3.8,2.5,11.2,8.3,1.2,0.6,20.0,0.2
2018,은평구,은평구,100,38.6,15.7,4.2,3.6,1.3,7.8,10.9,0.7,1.9,15.2,0.1
2018,서대문구,서대문구,100,23.3,26.3,5.7,2.9,1.0,12.4,12.1,1.6,1.1,13.5,-
2018,마포구,마포구,100,22.0,30.0,4.8,8.9,1.4,7.2,11.9,1.8,1.4,10.4,-
2018,양천구,양천구,100,44.1,20.3,4.0,3.2,0.4,8.9,3.5,1.1,0.4,14.4,-
2018,강서구,강서구,100,38.9,13.9,9.3,8.2,0.4,11.0,8.3,1.1,0.9,7.9,-
2018,구로구,구로구,100,30.7,28.2,8.0,5.8,0.8,8.2,4.2,0.9,0.9,12.1,-
2018,금천구,금천구,100,40.0,19.8,10.7,1.6,0.6,8.2,6.5,0.3,0.9,11.0,0.4
2018,영등포구,영등포구,100,27.0,17.1,8.6,6.4,0.3,13.1,10.6,3.3,2.4,11.1,-
2018,동작구,동작구,100,15.2,24.5,8.2,3.1,0.1,11.6,10.2,2.1,2.1,22.9,-
2018,관악구,관악구,100,18.6,17.6,12.0,9.1,1.4,7.9,18.8,1.2,0.8,12.4,0.3
2018,서초구,서초구,100,23.4,28.5,5.7,3.6,1.7,10.1,10.3,0.6,1.6,14.6,-
2018,강남구,강남구,100,31.8,15.2,11.7,5.3,1.5,13.8,3.7,3.5,1.1,12.3,0
2018,송파구,송파구,100,24.7,31.7,5.4,0.9,0.8,10.6,5.0,2.5,1.0,17.1,0.3
2018,강동구,강동구,100,33.5,18.6,6.6,3.4,2.5,7.2,16.1,2.3,2.6,7.2,-
